Cliente;ID;Tipo;Data da Venda;Categoria;Vendedor;Regional;Duração do Contrato (Meses);Equipe;Valor
Cliente 16;20202457;Serviços;2020-10-19;Cross selling;Vendedor 20;Brasil;3;Time 3;320000.0
Cliente 16;20202460;Produtos;2020-11-30;Renovação;Vendedor 20;Brasil;12;Time 3;438000.0
Cliente 16;20213705;Serviços;2021-03-25;Upselling;Vendedor 20;Brasil;2;Time 3;27936.0
Cliente 160;20213843;Produtos;2021-04-30;Novo Logo;Vendedor 21;Brasil;67;Time 3;1658000.0
Cliente 17;20180172;Serviços;2018-04-18;Cross selling;Vendedor 3;Brasil;1;Time 1;37710.0
Cliente 17;20170135;Licenciamento;2018-04-18;Cross selling;Vendedor 3;Brasil;12;Time 1;288290.0
Cliente 17;20180351;Licenciamento;2019-09-24;Renovação;Vendedor 3;Brasil;37;Time 1;1072800.0
Cliente 18;20180177;Serviços;2018-04-19;Upselling;Vendedor 3;Brasil;1;Time 1;6000.0
Cliente 19;20180182;Serviços;2018-04-23;Novo Logo;Vendedor 3;Brasil;1;Time 1;6720.0
Cliente 2;20170026;Licenciamento;2018-01-08;Upselling;Vendedor 2;Brasil;13;Time 2;323719.72
Cliente 2;20180368;Licenciamento;2018-09-27;Upselling;Vendedor 2;Brasil;12;Time 2;154000.0
Cliente 2;20180547;Licenciamento;2018-11-05;Upselling;Vendedor 7;Brasil;12;Time 5;132000.0
Cliente 2;20180610;Licenciamento;2019-02-26;Upselling;Vendedor 3;Brasil;12;Time 1;695000.0
Cliente 2;20190932;Licenciamento;2019-02-28;Upselling;Vendedor 3;Brasil;12;Time 1;66000.0
Cliente 2;20190933;Licenciamento;2019-02-28;Upselling;Vendedor 3;Brasil;12;Time 1;132000.0
Cliente 2;20180631;Serviços;2019-04-18;Cross selling;Vendedor 3;Brasil;2;Time 1;295000.0
Cliente 2;20191234;Licenciamento;2019-05-15;Upselling;Vendedor 3;Brasil;12;Time 1;22000.0
Cliente 2;20191364;Licenciamento;2019-07-01;Upselling;Vendedor 3;Brasil;12;Time 1;22000.0
Cliente 2;20191382;Licenciamento;2019-07-03;Upselling;Vendedor 3;Brasil;12;Time 1;22000.0
Cliente 2;20191318;Licenciamento;2019-10-03;Upselling;Vendedor 3;Brasil;24;Time 1;4134303.11
Cliente 2;20191874;Licenciamento;2019-11-19;Upselling;Vendedor 3;Brasil;12;Time 1;120612.0
Cliente 2;20191682;Licenciamento;2019-11-19;Upselling;Vendedor 3;Brasil;12;Time 1;160816.0
Cliente 2;20191875;Licenciamento;2019-11-27;Upselling;Vendedor 3;Brasil;12;Time 1;20102.0
Cliente 2;20202724;Licenciamento;2020-09-25;Upselling;Vendedor 3;Brasil;12;Time 1;60306.0
Cliente 2;20203075;Licenciamento;2020-12-14;Renovação;Vendedor 3;Brasil;13;Time 1;49844.1
Cliente 2;20202899;Licenciamento;2020-12-14;Renovação;Vendedor 3;Brasil;13;Time 1;424654.8
Cliente 2;20202950;Licenciamento;2020-12-14;Cross selling;Vendedor 3;Brasil;12;Time 1;616738.68
Cliente 2;20202592;Licenciamento;2021-01-11;Upselling;Vendedor 3;Brasil;12;Time 1;416110.71
Cliente 2;20213414;Serviços;2021-02-02;Cross selling;Vendedor 3;Brasil;12;Time 1;36800.0
Cliente 2;20213418;Serviços;2021-02-02;Cross selling;Vendedor 3;Brasil;12;Time 1;51029.45
Cliente 20;20180036;Serviços;2018-04-30;Novo Logo;Vendedor 1;Brasil;1;Time 1;29200.0
Cliente 21;20180102;Serviços;2018-04-30;Upselling;Vendedor 3;Brasil;11;Time 1;380400.0
Cliente 21;20202275;Serviços;2020-04-30;Cross selling;Vendedor 3;Brasil;12;Time 1;94331.34
Cliente 21;20202274;Serviços;2020-04-30;Cross selling;Vendedor 3;Brasil;12;Time 1;1011387.74
Cliente 21;20202058;Licenciamento;2020-04-30;Cross selling;Vendedor 3;Brasil;24;Time 1;5039994.61
Cliente 21;20213899;Serviços;2021-04-30;Upselling;Vendedor 29;Brasil;12;Time 1;320439.68
Cliente 21;20213716;Licenciamento;2021-04-30;Renovação;Vendedor 29;Brasil;37;Time 1;18192880.38
Cliente 22;20180164;Produtos;2018-04-30;Novo Logo;Vendedor 1;Brasil;3;Time 1;50000.0
Cliente 23;20170018;Produtos;2018-05-04;Cross selling;Vendedor 1;Brasil;7;Time 1;332463.36
