"cliente","id","tipo","data_da_venda","categoria","vendedor","regional","duracao_do_contrato_meses","equipe","valor"
"Cliente 5","2020-2176","Serviços","2020-03-17","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 9.618,48"
"Cliente 5","2020-2201","Serviços","2020-03-27","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 23.032,00"
"Cliente 5","2019-1282","Serviços","2020-03-31","Upselling","Vendedor 3","Brasil",15,"Time 1","R$ 474.075,00"
"Cliente 5","2020-2256","Serviços","2020-04-03","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 21.591,90"
"Cliente 5","2020-2254","Serviços","2020-04-03","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 22.377,06"
"Cliente 5","2020-2302","Serviços","2020-04-23","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 21.591,90"
"Cliente 5","2020-2313","Serviços","2020-04-29","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 23.032,00"
"Cliente 5","2020-2322","Serviços","2020-05-04","Renovação","Vendedor 3","Brasil",3,"Time 1","R$ 262.861,20"
"Cliente 5","2020-2321","Serviços","2020-05-08","Renovação","Vendedor 3","Brasil",4,"Time 1","R$ 110.602,80"
"Cliente 5","2020-2367","Serviços","2020-05-28","Renovação","Vendedor 3","Brasil",6,"Time 1","R$ 134.000,54"
"Cliente 5","2020-2363","Serviços","2020-06-02","Renovação","Vendedor 3","Brasil",7,"Time 1","R$ 245.444,40"
"Cliente 5","2020-2404","Serviços","2020-06-09","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 23.031,36"
"Cliente 5","2020-2403","Serviços","2020-06-12","Renovação","Vendedor 3","Brasil",7,"Time 1","R$ 370.542,26"
"Cliente 5","2018-0662","Licenciamento","2020-06-30","Renovação","Vendedor 3","Brasil",24,"Time 1","R$ 2.205.975,01"
"Cliente 5","2018-0663","Produtos","2020-06-30","Renovação","Vendedor 3","Brasil",36,"Time 1","R$ 7.469.497,40"
"Cliente 5","2020-2435","Serviços","2020-07-01","Renovação","Vendedor 3","Brasil",3,"Time 1","R$ 91.929,60"
"Cliente 5","2020-2329","Serviços","2020-07-24","Upselling","Vendedor 3","Brasil",4,"Time 1","R$ 104.857,20"
"Cliente 5","2020-2564","Serviços","2020-08-10","Renovação","Vendedor 3","Brasil",4,"Time 1","R$ 65.325,12"
"Cliente 5","2020-2563","Serviços","2020-08-26","Upselling","Vendedor 3","Brasil",4,"Time 1","R$ 120.657,60"
"Cliente 5","2019-1823","Produtos","2020-09-18","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 840.500,00"
"Cliente 5","2020-2673","Serviços","2020-10-01","Upselling","Vendedor 3","Brasil",4,"Time 1","R$ 90.493,20"
"Cliente 5","2020-2876","Serviços","2020-10-15","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 89.056,80"
"Cliente 5","2020-2935","Serviços","2020-10-30","Upselling","Vendedor 3","Brasil",8,"Time 1","R$ 239.878,80"
"Cliente 5","2020-2880","Serviços","2020-11-09","Upselling","Vendedor 3","Brasil",13,"Time 1","R$ 395.010,00"
"Cliente 5","2019-1826","Produtos","2020-11-13","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 338.119,92"
"Cliente 5","2020-3050","Serviços","2020-11-25","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 59.453,28"
"Cliente 5","2020-2949","Serviços","2020-11-30","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 21.905,10"
"Cliente 5","2019-1827","Produtos","2020-11-30","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 1.062.053,45"
"Cliente 5","2020-3004","Serviços","2020-12-01","Upselling","Vendedor 3","Brasil",7,"Time 1","R$ 211.150,80"
"Cliente 5","2021-3428","Serviços","2021-02-04","Upselling","Vendedor 3","Brasil",10,"Time 1","R$ 307.389,60"
"Cliente 5","2021-3308","Serviços","2021-02-04","Upselling","Vendedor 3","Brasil",10,"Time 1","R$ 450.858,24"
"Cliente 5","2020-2967","Serviços","2021-02-10","Upselling","Vendedor 3","Brasil",9,"Time 1","R$ 271.479,60"
"Cliente 5","2021-3495","Serviços","2021-02-10","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 772.726,68"
"Cliente 5","2021-3497","Serviços","2021-02-11","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 359.818,20"
"Cliente 5","2021-3501","Serviços","2021-02-11","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 719.636,40"
"Cliente 5","2021-3498","Serviços","2021-02-11","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 1.386.844,20"
"Cliente 5","2021-3421","Serviços","2021-02-18","Upselling","Vendedor 3","Brasil",10,"Time 1","R$ 269.948,16"
"Cliente 5","2021-3484","Serviços","2021-03-02","Upselling","Vendedor 3","Brasil",10,"Time 1","R$ 269.948,16"
"Cliente 5","2021-3869","Serviços","2021-04-19","Upselling","Vendedor 23","Brasil",1,"Time 1","R$ 28.480,00"
"Cliente 5","2021-3864","Serviços","2021-04-19","Upselling","Vendedor 23","Brasil",8,"Time 1","R$ 245.624,40"
"Cliente 50","2018-0523","Serviços","2019-02-26","Novo Logo","Vendedor 9","Brasil",7,"Time 3","R$ 636.822,48"
"Cliente 50","2019-1418","Serviços","2019-07-15","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 65.622,00"
"Cliente 50","2019-1566","Serviços","2019-09-20","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 544.496,40"
"Cliente 50","2020-2056","Serviços","2020-01-29","Renovação","Vendedor 9","Brasil",12,"Time 3","R$ 1.100.010,24"
"Cliente 50","2020-2078","Serviços","2020-02-19","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 110.244,96"
"Cliente 50","2020-2122","Serviços","2020-03-31","Cross selling","Vendedor 9","Brasil",3,"Time 3","R$ 220.489,92"
"Cliente 50","2020-2421","Serviços","2020-06-26","Renovação","Vendedor 9","Brasil",2,"Time 3","R$ 146.993,28"
